見出し,店名,年式,リンク,文言,税抜,税込
10,サイクルベースあさひ,2016,/^.*products%2f/iushttps://ec.cb-asahi.co.jp/search/go?p=R&srid=S1-4HKGP&lbc=asahi&w=*&url=https%3a%2f%2fec.cb-asahi.co.jp%2fcatalog%2fproducts%2fA2DBADCFAE5441DAAD5BA574993159E9&lgsku=18780&rk=11&uid=565348838&sid=1&ts=custom&champclick=1&SLIPid=1549856536090&rsc=WBCq5mXrxdHUhT9P&method=and&isort=price&view=list/&lgsku=[0-9]{5}$/ius,PAS Mina 3人乗り対応 電動自転車 【OLSL1811】,0,97979
11,サイクルベースあさひ,2018,/^.*products%2f/iushttps://ec.cb-asahi.co.jp/search/go?p=R&srid=S1-4HKGP&lbc=asahi&w=*&url=https%3a%2f%2fec.cb-asahi.co.jp%2fcatalog%2fproducts%2f0D0E24B8B1694D71ABFE2CED8DB76430&lgsku=15110&rk=12&uid=565348838&sid=1&ts=custom&champclick=1&SLIPid=1549856536090&rsc=cYnefODM5MAObNnO&method=and&isort=price&view=list/&lgsku=[0-9]{5}$/ius,TRANS MOBILLY (トランスモバイリー) 電動アシスト 「AL-FDB140」 折りたたみ自転車,0,99800
12,サイクルベースあさひ,2018,/^.*products%2f/iushttps://ec.cb-asahi.co.jp/search/go?p=R&srid=S1-4HKGP&lbc=asahi&w=*&url=https%3a%2f%2fec.cb-asahi.co.jp%2fcatalog%2fproducts%2f55D47F32A8AA4EAD9715FD946D45A72C&lgsku=14472&rk=13&uid=565348838&sid=1&ts=custom&champclick=1&SLIPid=1549856536090&rsc=7NV5QQtyxnFiS5ap&method=and&isort=price&view=list/&lgsku=[0-9]{5}$/ius,ティモ I 「BE-ELTA63」 26インチ 電動自転車【DZSL1812】,0,100300
13,サイクルベースあさひ,2019,/^.*products%2f/iushttps://ec.cb-asahi.co.jp/search/go?p=R&srid=S1-4HKGP&lbc=asahi&w=*&url=https%3a%2f%2fec.cb-asahi.co.jp%2fcatalog%2fproducts%2f83C3B7080D404B19AE3106901D5AB8FE&lgsku=24711&rk=14&uid=565348838&sid=1&ts=custom&champclick=1&SLIPid=1549856536090&rsc=pg8LXa5WY65hecSx&method=and&isort=price&view=list/&lgsku=[0-9]{5}$/ius,PAS With 26(パスウィズ26)「PA26W」 26インチ 電動自転車【BBS1902】,0,101574
14,サイクルベースあさひ,2019,/^.*products%2f/iushttps://ec.cb-asahi.co.jp/search/go?p=R&srid=S1-4HKGP&lbc=asahi&w=*&url=https%3a%2f%2fec.cb-asahi.co.jp%2fcatalog%2fproducts%2f4CC1C486524C4C9E8467329304C6A6FD&lgsku=18812&rk=15&uid=565348838&sid=1&ts=custom&champclick=1&SLIPid=1549856536090&rsc=C2fC5nUj2fhdyjmE&method=and&isort=price&view=list/&lgsku=[0-9]{5}$/ius,ビビ・L20 「BE-ELL03」20インチ 電動自転車,0,102227
15,サイクルベースあさひ,2018,/^.*products%2f/iushttps://ec.cb-asahi.co.jp/search/go?p=R&srid=S1-4HKGP&lbc=asahi&w=*&url=https%3a%2f%2fec.cb-asahi.co.jp%2fcatalog%2fproducts%2f099F07EA96164E428C25EF33D83F67A4&lgsku=15410&rk=16&uid=565348838&sid=1&ts=custom&champclick=1&SLIPid=1549856536090&rsc=2oS0hRSI%3aFIvYykx&method=and&isort=price&view=list/&lgsku=[0-9]{5}$/ius,PAS SION-U (パスシオンユー) 「PA20SU」 20インチ 電動自転車,0,103462
16,サイクルベースあさひ,2018,/^.*products%2f/iushttps://ec.cb-asahi.co.jp/search/go?p=R&srid=S1-4HKGP&lbc=asahi&w=*&url=https%3a%2f%2fec.cb-asahi.co.jp%2fcatalog%2fproducts%2f96220F0FE3C8453AABB3CBB5DA70A009&lgsku=14489&rk=17&uid=565348838&sid=1&ts=custom&champclick=1&SLIPid=1549856536090&rsc=zm5QbeXz8aoSIJJT&method=and&isort=price&view=list/&lgsku=[0-9]{5}$/ius,PAS Ami(パスアミ)「PA26A」 26インチ 電動自転車,0,103689
17,サイクルベースあさひ,2019,/^.*products%2f/iushttps://ec.cb-asahi.co.jp/search/go?p=R&srid=S1-4HKGP&lbc=asahi&w=*&url=https%3a%2f%2fec.cb-asahi.co.jp%2fcatalog%2fproducts%2f31B8367DB91848CC9C4004110A79ADD5&lgsku=24865&rk=18&uid=565348838&sid=1&ts=custom&champclick=1&SLIPid=1549856536090&rsc=5HWyEBFPCGqw%3a%3alc&method=and&isort=price&view=list/&lgsku=[0-9]{5}$/ius,PAS ナチュラXL DX (パスナチュラXLデラックス) 26インチ 電動自転車 限定モデル,0,103980
18,サイクルベースあさひ,2019,/^.*products%2f/iushttps://ec.cb-asahi.co.jp/search/go?p=R&srid=S1-4HKGP&lbc=asahi&w=*&url=https%3a%2f%2fec.cb-asahi.co.jp%2fcatalog%2fproducts%2f35DC1A4F170A431797FA3EF5CEFC052F&lgsku=18805&rk=19&uid=565348838&sid=1&ts=custom&champclick=1&SLIPid=1549856536090&rsc=SW6G4acCDCP5dXCy&method=and&isort=price&view=list/&lgsku=[0-9]{5}$/ius,ビビ・DX 「BE-ELD435」24インチ 電動自転車,0,104106
19,サイクルベースあさひ,2018,/^.*products%2f/iushttps://ec.cb-asahi.co.jp/search/go?p=R&srid=S1-4HKGP&lbc=asahi&w=*&url=https%3a%2f%2fec.cb-asahi.co.jp%2fcatalog%2fproducts%2fD39D1777EAAB4FEA861F7576F1A4C5B3&lgsku=15593&rk=20&uid=565348838&sid=1&ts=custom&champclick=1&SLIPid=1549856536090&rsc=j1AqjGPwfplSK10a&method=and&isort=price&view=list/&lgsku=[0-9]{5}$/ius,アシスタユニ 「A2UC38」 20インチ 電動自転車,0,104197
20,サイクルベースあさひ,2019,/^.*products%2f/iushttps://ec.cb-asahi.co.jp/search/go?p=R&srid=S1-4HKGP&lbc=asahi&w=*&url=https%3a%2f%2fec.cb-asahi.co.jp%2fcatalog%2fproducts%2fBA3DDA60C0774AC5A795A21B97C11165&lgsku=18806&rk=21&uid=565348838&sid=1&ts=custom&champclick=1&SLIPid=1549856536090&rsc=L4ty%3aXU8hk%3at11TC&method=and&isort=price&view=list/&lgsku=[0-9]{5}$/ius,ビビ・DX 「BE-ELD635」26インチ 電動自転車,0,104434
21,サイクルベースあさひ,0000,/^.*products%2f/iushttps://ec.cb-asahi.co.jp/search/go?p=R&srid=S1-4HKGP&lbc=asahi&w=*&url=https%3a%2f%2fec.cb-asahi.co.jp%2fcatalog%2fproducts%2f0C7D2F9621524AC4888F6EFEF9A2847E&lgsku=14955&rk=22&uid=565348838&sid=1&ts=custom&champclick=1&SLIPid=1549856536090&rsc=FTETJWzhJLs7eIRi&method=and&isort=price&view=list/&lgsku=[0-9]{5}$/ius,フロンティアDA-I 26インチ 電動自転車 リミテッド【DZSL1812】,0,104980
22,サイクルベースあさひ,2019,/^.*products%2f/iushttps://ec.cb-asahi.co.jp/search/go?p=R&srid=S1-4HKGP&lbc=asahi&w=*&url=https%3a%2f%2fec.cb-asahi.co.jp%2fcatalog%2fproducts%2f1F03146B486C4CF4B7A9C1C830254ABB&lgsku=18811&rk=23&uid=565348838&sid=1&ts=custom&champclick=1&SLIPid=1549856536090&rsc=cUTYwUTL%3aKxY8tFi&method=and&isort=price&view=list/&lgsku=[0-9]{5}$/ius,ビビ・L 「BE-ELL63」26インチ 電動自転車,0,105229
23,サイクルベースあさひ,2018,/^.*products%2f/iushttps://ec.cb-asahi.co.jp/search/go?p=R&srid=S1-4HKGP&lbc=asahi&w=*&url=https%3a%2f%2fec.cb-asahi.co.jp%2fcatalog%2fproducts%2f272993A3DD52464D86DEB010FD40F9C3&lgsku=14738&rk=24&uid=565348838&sid=1&ts=custom&champclick=1&SLIPid=1549856536090&rsc=0m2gPAPIbxfpe5rz&method=and&isort=price&view=list/&lgsku=[0-9]{5}$/ius,PAS CITY-X(パスシティエックス)「PA20CX」20インチ 電動自転車,0,105233
